"","YearStart","LocationAbbr","LocationDesc","DataSource","Topic","Question","DataValueUnit","DataValue","DataValueAlt"
"1",2016,"AL","Alabama","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","13",13
"2",2016,"AK","Alaska","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.2",18.2
"3",2016,"AZ","Arizona","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.6",15.6
"4",2016,"AR","Arkansas","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15",15
"5",2016,"CA","California","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.3",16.3
"6",2016,"CO","Colorado","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19",19
"7",2016,"CT","Connecticut","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.7",16.7
"8",2016,"DE","Delaware","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17",17
"9",2016,"DC","District of Columbia","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","25.6",25.6
"10",2016,"FL","Florida","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.5",15.5
"11",2016,"GA","Georgia","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","13.3",13.3
"12",2016,"HI","Hawaii","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.6",18.6
"13",2016,"ID","Idaho","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.1",16.1
"14",2016,"IL","Illinois","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19.9",19.9
"15",2016,"IN","Indiana","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.5",17.5
"16",2016,"IA","Iowa","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","21.2",21.2
"17",2016,"KS","Kansas","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16",16
"18",2016,"KY","Kentucky","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","14.6",14.6
"19",2016,"LA","Louisiana","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.9",16.9
"20",2016,"ME","Maine","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.3",18.3
"21",2016,"MD","Maryland","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.3",15.3
"22",2016,"MA","Massachusetts","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.8",17.8
"23",2016,"MI","Michigan","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19",19
"24",2016,"MN","Minnesota","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","21.3",21.3
"25",2016,"MS","Mississippi","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","12.3",12.3
"26",2016,"MO","Missouri","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.4",18.4
"27",2016,"MT","Montana","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.9",18.9
"28",2016,"NE","Nebraska","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","20",20
"29",2016,"NV","Nevada","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.8",15.8
"30",2016,"NH","New Hampshire","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18",18
"31",2016,"NJ","New Jersey","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16",16
"32",2016,"NM","New Mexico","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15",15
"33",2016,"NY","New York","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.5",17.5
"34",2016,"NC","North Carolina","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","14.6",14.6
"35",2016,"ND","North Dakota","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","24.8",24.8
"36",2016,"OH","Ohio","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.9",17.9
"37",2016,"OK","Oklahoma","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","11.8",11.8
"38",2016,"OR","Oregon","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.3",16.3
"39",2016,"PA","Pennsylvania","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19.4",19.4
"40",2016,"RI","Rhode Island","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.8",15.8
"41",2016,"SC","South Carolina","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.8",16.8
"42",2016,"SD","South Dakota","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19.3",19.3
"43",2016,"TN","Tennessee","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","13.1",13.1
"44",2016,"TX","Texas","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.9",17.9
"45",2016,"UT","Utah","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","12.5",12.5
"46",2016,"VT","Vermont","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.4",18.4
"47",2016,"VA","Virginia","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.8",15.8
"48",2016,"WA","Washington","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.4",16.4
"49",2016,"WV","West Virginia","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","11.3",11.3
"50",2016,"WI","Wisconsin","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","24.6",24.6
"51",2016,"WY","Wyoming","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.4",18.4
"52",2016,"AL","Alabama","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","13.8",13.8
"53",2016,"AK","Alaska","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.8",17.8
"54",2016,"AZ","Arizona","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.5",16.5
"55",2016,"AR","Arkansas","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.9",15.9
"56",2016,"CA","California","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.5",16.5
"57",2016,"CO","Colorado","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19.5",19.5
"58",2016,"CT","Connecticut","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.1",18.1
"59",2016,"DE","Delaware","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18",18
"60",2016,"DC","District of Columbia","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","24.2",24.2
"61",2016,"FL","Florida","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17",17
"62",2016,"GA","Georgia","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","13.6",13.6
"63",2016,"HI","Hawaii","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19.6",19.6
"64",2016,"ID","Idaho","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.9",16.9
"65",2016,"IL","Illinois","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","20.7",20.7
"66",2016,"IN","Indiana","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.5",18.5
"67",2016,"IA","Iowa","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","22.5",22.5
"68",2016,"KS","Kansas","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.8",16.8
"69",2016,"KY","Kentucky","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.6",15.6
"70",2016,"LA","Louisiana","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.3",17.3
"71",2016,"ME","Maine","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","21.1",21.1
"72",2016,"MD","Maryland","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.1",16.1
"73",2016,"MA","Massachusetts","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19",19
"74",2016,"MI","Michigan","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","20.2",20.2
"75",2016,"MN","Minnesota","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","22.3",22.3
"76",2016,"MS","Mississippi","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","12.8",12.8
"77",2016,"MO","Missouri","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19.5",19.5
"78",2016,"MT","Montana","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","20.6",20.6
"79",2016,"NE","Nebraska","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","21.1",21.1
"80",2016,"NV","Nevada","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.6",16.6
"81",2016,"NH","New Hampshire","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19.8",19.8
"82",2016,"NJ","New Jersey","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.2",17.2
"83",2016,"NM","New Mexico","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.7",15.7
"84",2016,"NY","New York","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18.2",18.2
"85",2016,"NC","North Carolina","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","15.5",15.5
"86",2016,"ND","North Dakota","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","25.2",25.2
"87",2016,"OH","Ohio","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19.4",19.4
"88",2016,"OK","Oklahoma","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","12.5",12.5
"89",2016,"OR","Oregon","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.4",17.4
"90",2016,"PA","Pennsylvania","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","20.9",20.9
"91",2016,"RI","Rhode Island","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.7",16.7
"92",2016,"SC","South Carolina","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","18",18
"93",2016,"SD","South Dakota","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","20.7",20.7
"94",2016,"TN","Tennessee","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","14.1",14.1
"95",2016,"TX","Texas","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17.9",17.9
"96",2016,"UT","Utah","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","12",12
"97",2016,"VT","Vermont","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","20.3",20.3
"98",2016,"VA","Virginia","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","16.3",16.3
"99",2016,"WA","Washington","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","17",17
"100",2016,"WV","West Virginia","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","12.7",12.7
"101",2016,"WI","Wisconsin","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","26",26
"102",2016,"WY","Wyoming","BRFSS","Alcohol","Binge drinking prevalence among adults aged >= 18 years","%","19.1",19.1
"103",2016,"GA","Georgia","BRFSS","Alcohol","Heavy drinking among adults aged >= 18 years","%","5.6",5.6
"104",2016,"HI","Hawaii","BRFSS","Alcohol","Heavy drinking among adults aged >= 18 years","%","7.9",7.9
"105",2016,"LA","Louisiana","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","17.9",17.9
"106",2016,"AL","Alabama","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","14.2",14.2
"107",2016,"AK","Alaska","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","20.9",20.9
"108",2016,"AZ","Arizona","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","14.7",14.7
"109",2016,"AR","Arkansas","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","16.1",16.1
"110",2016,"CA","California","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","15.7",15.7
"111",2016,"CO","Colorado","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","21.2",21.2
"112",2016,"CT","Connecticut","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","19.7",19.7
"113",2016,"DE","Delaware","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","21",21
"114",2016,"DC","District of Columbia","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","28.8",28.8
"115",2016,"FL","Florida","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","18",18
"116",2016,"GA","Georgia","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","13.5",13.5
"117",2016,"HI","Hawaii","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","20.9",20.9
"118",2016,"ID","Idaho","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","16.2",16.2
"119",2016,"IL","Illinois","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","21.9",21.9
"120",2016,"IN","Indiana","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","19.7",19.7
"121",2016,"IA","Iowa","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","24.2",24.2
"122",2016,"KS","Kansas","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","16.3",16.3
"123",2016,"KY","Kentucky","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","16.2",16.2
"124",2016,"ME","Maine","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","23.5",23.5
"125",2016,"MD","Maryland","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","17.8",17.8
"126",2016,"MA","Massachusetts","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","21.6",21.6
"127",2016,"MI","Michigan","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","21.4",21.4
"128",2016,"MN","Minnesota","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","23.6",23.6
"129",2016,"MS","Mississippi","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","11.9",11.9
"130",2016,"MO","Missouri","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","20.2",20.2
"131",2016,"MT","Montana","BRFSS","Alcohol","Binge drinking prevalence among women aged 18-44 years","%","19.8",19.8
