"","year","statecode","measure","value"
"1",1984,"AL","Homeownership Rate",73.7
"2",1985,"AL","Homeownership Rate",70.4
"3",1986,"AL","Homeownership Rate",70.3
"4",1987,"AL","Homeownership Rate",67.9
"5",1988,"AL","Homeownership Rate",66.5
"6",1989,"AL","Homeownership Rate",67.6
"7",1990,"AL","Homeownership Rate",68.4
"8",1991,"AL","Homeownership Rate",69.9
"9",1992,"AL","Homeownership Rate",70.3
"10",1993,"AL","Homeownership Rate",70.2
"11",1994,"AL","Homeownership Rate",68.5
"12",1995,"AL","Homeownership Rate",70.1
"13",1996,"AL","Homeownership Rate",71
"14",1997,"AL","Homeownership Rate",71.3
"15",1998,"AL","Homeownership Rate",72.9
"16",1999,"AL","Homeownership Rate",74.8
"17",2000,"AL","Homeownership Rate",73.2
"18",2001,"AL","Homeownership Rate",73.2
"19",2002,"AL","Homeownership Rate",73.7
"20",2003,"AL","Homeownership Rate",76.2
"21",2004,"AL","Homeownership Rate",78
"22",2005,"AL","Homeownership Rate",76.6
"23",2006,"AL","Homeownership Rate",74.2
"24",2007,"AL","Homeownership Rate",73.3
"25",2008,"AL","Homeownership Rate",73
"26",2009,"AL","Homeownership Rate",74.1
"27",2010,"AL","Homeownership Rate",73.2
"28",2011,"AL","Homeownership Rate",72.9
"29",2012,"AL","Homeownership Rate",71.9
"30",2013,"AL","Homeownership Rate",72.7
"31",2014,"AL","Homeownership Rate",72.1
"32",2015,"AL","Homeownership Rate",70
"33",2016,"AL","Homeownership Rate",69.7
"34",2017,"AL","Homeownership Rate",70
"35",1984,"AK","Homeownership Rate",57.6
"36",1985,"AK","Homeownership Rate",61.2
"37",1986,"AK","Homeownership Rate",61.5
"38",1987,"AK","Homeownership Rate",59.7
"39",1988,"AK","Homeownership Rate",57
"40",1989,"AK","Homeownership Rate",58.7
"41",1990,"AK","Homeownership Rate",58.4
"42",1991,"AK","Homeownership Rate",57.1
"43",1992,"AK","Homeownership Rate",55.5
"44",1993,"AK","Homeownership Rate",55.4
"45",1994,"AK","Homeownership Rate",58.8
"46",1995,"AK","Homeownership Rate",60.9
"47",1996,"AK","Homeownership Rate",62.9
"48",1997,"AK","Homeownership Rate",67.2
"49",1998,"AK","Homeownership Rate",66.3
"50",1999,"AK","Homeownership Rate",66.4
"51",2000,"AK","Homeownership Rate",66.4
"52",2001,"AK","Homeownership Rate",65.3
"53",2002,"AK","Homeownership Rate",67.1
"54",2003,"AK","Homeownership Rate",70
"55",2004,"AK","Homeownership Rate",67.2
"56",2005,"AK","Homeownership Rate",66
"57",2006,"AK","Homeownership Rate",67.2
"58",2007,"AK","Homeownership Rate",66.6
"59",2008,"AK","Homeownership Rate",66.4
"60",2009,"AK","Homeownership Rate",66.8
"61",2010,"AK","Homeownership Rate",65.7
"62",2011,"AK","Homeownership Rate",64.4
"63",2012,"AK","Homeownership Rate",63.7
"64",2013,"AK","Homeownership Rate",64.6
"65",2014,"AK","Homeownership Rate",64.9
"66",2015,"AK","Homeownership Rate",62.3
"67",2016,"AK","Homeownership Rate",65.2
