"","Year","State","Name","Alcoholic Beverage Tax (T10)","Alcoholic Beverage Lic (T20)"
"1",2017,"01","AL STATE GOVT","217,790","4,086"
"2",2017,"02","AK STATE GOVT","40,097","1,996"
"3",2017,"03","AZ STATE GOVT","74,126","8,921"
"4",2017,"04","AR STATE GOVT","55,831","4,787"
"5",2017,"05","CA STATE GOVT","370,714","58,202"
"6",2017,"06","CO STATE GOVT","44,866","7,840"
"7",2017,"07","CT STATE GOVT","63,155","9,204"
"8",2017,"08","DE STATE GOVT","20,577","2,034"
"9",2017,"10","FL STATE GOVT","323,393","7,005"
"10",2017,"11","GA STATE GOVT","193,438","3,975"
"11",2017,"12","HI STATE GOVT","51,167","X"
"12",2017,"13","ID STATE GOVT","9,468","1,878"
"13",2017,"14","IL STATE GOVT","294,304","17,021"
"14",2017,"15","IN STATE GOVT","49,403","12,582"
"15",2017,"16","IA STATE GOVT","22,535","15,442"
"16",2017,"17","KS STATE GOVT","137,801","2,668"
"17",2017,"18","KY STATE GOVT","146,227","6,638"
"18",2017,"19","LA STATE GOVT","77,107","X"
"19",2017,"20","ME STATE GOVT","19,266","6,698"
"20",2017,"21","MD STATE GOVT","32,151","1,486"
"21",2017,"22","MA STATE GOVT","85,397","3,634"
"22",2017,"23","MI STATE GOVT","159,378","19,204"
"23",2017,"24","MN STATE GOVT","88,222","2,611"
"24",2017,"25","MS STATE GOVT","41,835","1,243"
"25",2017,"26","MO STATE GOVT","37,863","5,304"
"26",2017,"27","MT STATE GOVT","32,926","3,484"
"27",2017,"28","NE STATE GOVT","30,911","715"
"28",2017,"29","NV STATE GOVT","45,011","X"
"29",2017,"30","NH STATE GOVT","12,678","17,263"
"30",2017,"31","NJ STATE GOVT","137,757","4,199"
"31",2017,"32","NM STATE GOVT","44,916","0"
"32",2017,"33","NY STATE GOVT","257,690","62,334"
"33",2017,"34","NC STATE GOVT","394,838","26,601"
"34",2017,"35","ND STATE GOVT","8,872","381"
"35",2017,"36","OH STATE GOVT","107,060","42,978"
"36",2017,"37","OK STATE GOVT","118,260","1,360"
"37",2017,"38","OR STATE GOVT","18,796","4,706"
"38",2017,"39","PA STATE GOVT","386,816","34,222"
"39",2017,"40","RI STATE GOVT","20,873","143"
"40",2017,"41","SC STATE GOVT","177,317","13,601"
"41",2017,"42","SD STATE GOVT","16,933","1,166"
"42",2017,"43","TN STATE GOVT","187,125","1,644"
"43",2017,"44","TX STATE GOVT","1,228,641","68,608"
"44",2017,"45","UT STATE GOVT","50,002","5,900"
"45",2017,"46","VT STATE GOVT","26,028","485"
"46",2017,"47","VA STATE GOVT","224,426","14,115"
"47",2017,"48","WA STATE GOVT","354,939","150,772"
"48",2017,"49","WV STATE GOVT","17,782","1,038"
"49",2017,"50","WI STATE GOVT","61,203","1,902"
"50",2017,"51","WY STATE GOVT","1,878","X"
"51",2016,"00","US STATE GOVTS","6612885","630176"
"52",2016,"01","AL STATE GOVT","210,535","4,224"
"53",2016,"02","AK STATE GOVT","42,430","1,919"
"54",2016,"03","AZ STATE GOVT","72,281","7,416"
"55",2016,"04","AR STATE GOVT","55,164","4,624"
"56",2016,"05","CA STATE GOVT","368,699","57,406"
"57",2016,"06","CO STATE GOVT","43,407","7,367"
"58",2016,"07","CT STATE GOVT","56,345","9,356"
"59",2016,"08","DE STATE GOVT","20,274","1,584"
"60",2016,"10","FL STATE GOVT","396,418","9,132"
"61",2016,"11","GA STATE GOVT","190,536","3,983"
"62",2016,"12","HI STATE GOVT","50,590","X"
"63",2016,"13","ID STATE GOVT","9,235","1,662"
"64",2016,"14","IL STATE GOVT","287,865","13,097"
"65",2016,"15","IN STATE GOVT","48,310","12,871"
"66",2016,"16","IA STATE GOVT","22,423","15,468"
"67",2016,"17","KS STATE GOVT","133,709","3,672"
"68",2016,"18","KY STATE GOVT","139,248","6,616"
"69",2016,"19","LA STATE GOVT","63,356","X"
"70",2016,"20","ME STATE GOVT","18,741","5,445"
"71",2016,"21","MD STATE GOVT","31,627","1,446"
"72",2016,"22","MA STATE GOVT","83,395","3,450"
"73",2016,"23","MI STATE GOVT","156,499","18,655"
"74",2016,"24","MN STATE GOVT","88,352","2,580"
"75",2016,"25","MS STATE GOVT","42,352","1,306"
"76",2016,"26","MO STATE GOVT","36,849","5,359"
"77",2016,"27","MT STATE GOVT","31,907","3,374"
"78",2016,"28","NE STATE GOVT","30,520","648"
"79",2016,"29","NV STATE GOVT","45,098","X"
"80",2016,"30","NH STATE GOVT","12,850","18,056"
"81",2016,"31","NJ STATE GOVT","138,799","4,199"
"82",2016,"32","NM STATE GOVT","37,084","0"
"83",2016,"33","NY STATE GOVT","299,931","61,706"
"84",2016,"34","NC STATE GOVT","378,744","25,140"
"85",2016,"35","ND STATE GOVT","9,026","381"
"86",2016,"36","OH STATE GOVT","100,712","42,501"
"87",2016,"37","OK STATE GOVT","120,099","1,224"
"88",2016,"38","OR STATE GOVT","18,375","4,543"
"89",2016,"39","PA STATE GOVT","373,004","17,741"
"90",2016,"40","RI STATE GOVT","20,399","72"
"91",2016,"41","SC STATE GOVT","173,138","11,675"
"92",2016,"42","SD STATE GOVT","16,656","1,027"
"93",2016,"43","TN STATE GOVT","174,340","1,467"
"94",2016,"44","TX STATE GOVT","1,191,961","74,711"
"95",2016,"45","UT STATE GOVT","51,563","2,669"
